parent mass;ATTRIBUTE_Day_cat;ATTRIBUTE_Day_num;ATTRIBUTE_Phases;ATTRIBUTE_replicate;ATTRIBUTE_SampleType;ATTRIBUTE_Shift_Major;cluster index;Compound_Name;GNPSGROUP:1;GNPSGROUP:10;GNPSGROUP:113;GNPSGROUP:15;GNPSGROUP:2;GNPSGROUP:23;GNPSGROUP:29;GNPSGROUP:3;GNPSGROUP:4;GNPSGROUP:44;GNPSGROUP:5;GNPSGROUP:57;GNPSGROUP:6;GNPSGROUP:7;GNPSGROUP:71;GNPSGROUP:8;GNPSGROUP:85;GNPSGROUP:9;GNPSGROUP:99;GNPSGROUP:B;GNPSGROUP:Blanck;GNPSGROUP:Early;GNPSGROUP:Late;GNPSGROUP:MeOH;GNPSGROUP:PB;GNPSGROUP:Peak;GNPSGROUP:Succession;GNPSGROUP:T1;GNPSGROUP:T10;GNPSGROUP:T11;GNPSGROUP:T12;GNPSGROUP:T2;GNPSGROUP:T3;GNPSGROUP:T4;GNPSGROUP:T5;GNPSGROUP:T6;GNPSGROUP:T7;GNPSGROUP:T8;GNPSGROUP:T9;molecularFormula;ClassyFire#class;ClassyFire#level 5;ClassyFire#most specific class;ClassyFire#subclass;ClassyFire#superclass;NPC#class;NPC#pathway;NPC#superclass;precursor mass;RTConsensus;RTMean;Smiles;SpectrumID
788.5566;T10,T4,T7,T9,T12,T11;71,3,44,99,85,7,113,15;Late,Early;5,2,9,1,4,3,8,6,7;Succession;Early,Late;8190;;3508.94111;0;4234.292109;16907.62792;2618.017124;0;0;13203.4827;7806.861032;1358.686626;5720.291771;0;4528.962094;7257.187432;21441.97562;3673.884321;6795.768767;5038.740571;2618.017124;-1;-1;33815.25584;72897.48048;-1;0;0;53356.36816;0;6795.768767;2618.017124;4234.292109;0;0;16907.62792;0;0;1358.686626;0;21441.97562;C44H80NO7P;Glycerophospholipids;1-alkyl,2-acylglycero-3-phosphocholines;1-alkyl,2-acylglycero-3-phosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;788.5566;10.2325;10.2325;;
691.1385;T9;71;Late;9;Succession;Late;7171;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523.7107254;0;0;523.7107254;0;-1;-1;0;1047.421451;-1;0;0;523.7107254;0;0;0;0;0;0;0;0;0;0;0;523.7107254;;;;;;;;;;691.1385;10.0224;10.0224;;
493.1608;T9;71,3;Late;5,9,4,3,8;Succession;Late;1889;;0;0;0;0;0;0;0;1484.097543;2374.029619;0;2820.719617;0;0;0;16660.85012;2719.951576;0;7262.05177;0;-1;-1;0;33321.70025;-1;0;0;16660.85012;0;0;0;0;0;0;0;0;0;0;0;16660.85012;C24H26N2O8;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Aspidosperma type;Alkaloids;Anthranilic acid alkaloids;493.1608;5.7613;5.7613;;
311.1717;T9;71;Late;2;Succession;Late;380;;0;0;0;0;1657.050793;0;0;0;0;0;0;0;0;0;1657.050793;0;0;0;0;-1;-1;0;3314.101585;-1;0;0;1657.050793;0;0;0;0;0;0;0;0;0;0;0;1657.050793;;;;;;;;;;311.1717;1.1265;1.1265;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565.3768;T6;29;Early,Peak;9;Succession;Early;2446;;0;0;0;0;0;0;2169.035416;0;0;0;0;0;0;0;0;0;0;2169.035416;0;-1;-1;2169.035416;0;-1;0;2169.035416;2169.035416;0;0;0;0;0;0;0;0;2169.035416;0;0;0;;;;;;;;;;565.3768;6.6287;6.6287;;
822.5617;T4;7,15;Early;7;Succession;Early;5650;;0;0;0;1873.266586;0;0;0;0;0;0;0;0;0;1873.266586;0;0;0;0;0;-1;-1;3746.533172;0;-1;0;0;1873.266586;0;0;0;0;0;0;1873.266586;0;0;0;0;0;;;;;;;;;;822.5617;9.4451;9.4451;;
644.5707;T10,T9,T12,T11;71,99,85,7,113;Late;5,2,9,1,4,8,7;Succession;Late;8515;;2578.400699;0;7757.545728;0;3761.29843;0;0;0;3587.069092;0;5282.105149;0;0;8282.588964;4068.062732;3616.522425;11521.07787;2745.304067;6506.602497;-1;-1;0;59706.57765;-1;0;0;29853.28883;0;11521.07787;6506.602497;7757.545728;0;0;0;0;0;0;0;4068.062732;;;;;;;;;;644.5707;10.4653;10.4653;;
387.2142;T9;71;Late;8;Succession;Late;2487;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5280.796218;5280.796218;0;0;0;-1;-1;0;10561.59244;-1;0;0;5280.796218;0;0;0;0;0;0;0;0;0;0;0;5280.796218;C21H32O5;Benzene and substituted derivatives;;Benzene and substituted derivatives;;Benzenoids;Open-chain polyketides;Terpenoids;Diterpenoids;387.2142;6.8774;6.8774;;
